pais_nombre,provincia_nombre,ciudad_nombre,territorio_key
España,Barcelona,Caldes de Montbui,f18714ebc7adb4d56edb3a888dec1eb1
España,Cádiz,Vejer de la Frontera,f2b7653cd677fe0f33a1b0c35b12dd0f
España,Guipúzcoa/Gipuzkoa,Tolosa,ef83c80f337489ff4a5864cbf6ff5c5e
España,Girona,Figueres,09d14138c6b683064e12cadc9c4b2564
España,Salamanca,Salamanca,be511e17a1e6547dcf8138da6d665603
España,Barcelona,Cervelló,e909513ac158edaf350b031f6ccccf1b
España,Santa Cruz de Tenerife,San Cristóbal de La Laguna,a777502318fe5fb7e9ca081c2efe5eff
España,Toledo,Layos,8b2cf88f4d4043c31fd8256934b46c77
España,Vizcaya/Bizkaia,Galdakao,7e057ea535b0452ad7e2204b294bb837
España,Vizcaya/Bizkaia,Portugalete,4b7ff2e3f1ac10c54e6aed92aafc81e9
España,Las Palmas,Pájara,3550b7529514af3bd60bb20327bf7347
España,Madrid,Pozuelo de Alarcón,acec1ccdb69fcb4aebb47d32e242298a
España,Madrid,Torrelodones,72c0526fd1debf89b38e5ab4d33ad0f5
España,Valencia/València,Picanya,c79e5e8c2a442c0e186d7603d813aab8
España,Madrid,Torrejón de la Calzada,208fc5b8a51639178a3319ed6be4e955
España,Barcelona,Palau-solità i Plegamans,71a5f9de8d85f151375d4e6b0ebc8434
España,Jaén,Martos,715d0e86f0dca0e018349f8b6e6bf3e3
España,Valencia/València,Oliva,084c0a44e9f7220b320f64a783df6169
España,Barcelona,Lliçà de Vall,e3695b2258680022af8ea5f64695f8df
España,Islas Baleares/Illes Balears,Bunyola,d86bcf3087781ac628770010d15c9167
España,Lleida,Tàrrega,155cf0b7901824fb93bc28ae431a04fd
España,Valencia/València,Vallada,a1766551d340f013d38611d337a8b311
España,Barcelona,Jorba,822b299429b48edf65347bb07ab6fb1e
España,Navarra,San Adrián,187ee557808cbd7d410b422ebfa323e9
España,Barcelona,Cardedeu,7cdcb783ec8824c1078768f5e5ab0972
España,Zaragoza,La Puebla de Alfindén,3af8e822e426839a99fa24655d768dcb
España,Alicante/Alacant,Onil,9e80fecf160804537b1a7305a240b561
España,Cáceres,Cáceres,048c1f7e1be5d4e98abcdf158c51ee53
España,Lleida,Agramunt,414611a498e1e5f8556d04dd621e0fa9
España,Girona,Vilablareix,21641f0c677fb2a497c63bbf1b96e086
España,Barcelona,Calella,27837e3b6b8b65d1f2b2eceb4a45c9d7
España,Huesca,Fraga,76b2c13a6a3b385a62aedd451060baaf
España,Asturias,Oviedo,27e4b49f739a79ff88022dc2333d30a9
España,Tarragona,Masllorenç,18b6c94812482b0b6a32d487731fd3f6
España,Alicante/Alacant,San Vicente del Raspeig/Sant Vicent del Raspeig,ea865477b2b47c4eb65fb797a318df84
España,Girona,Sils,ccce7a0487afc8a8108eb5bac204c8f3
España,Barcelona,Viladecavalls,0abd023aa1388a88ea1bfb249aa5ddda
España,Murcia,Lorca,b49dc484463500e4eb7c83addbb074b6
España,Barcelona,Sant Adrià de Besòs,b060f6c0b927aec5a7872ebc6043a7df
España,Madrid,Villaviciosa de Odón,e21a9874726ffd950764b27d370b498c
España,Madrid,Arganda del Rey,70f9ac3b3a07f584ba90579204819edd
España,A Coruña,Santa Comba,fcd11ca8cc7a2a53c7775d6d0d80dd2a
España,Alicante/Alacant,Benidorm,363c88ded64427e4ba76db809d4eeedd
España,Santa Cruz de Tenerife,Arafo,2dfe202d8ada7b4f73d68ffaca9a05f7
España,Madrid,Collado Villalba,300518d1127617ac2a5b31d326bd838a
España,Castellón/Castelló,Villarreal/Vila-Real,735364aae9c377240c7e4affe9399357
España,León,Cistierna,a62e74c3c515da2ba555f40e2e8e157c
España,Islas Baleares/Illes Balears,Marratxí,50f84fda64ee4933577166c79913de1c
España,Islas Baleares/Illes Balears,Santa María del Camí,5e022b3a6a24dcbfafde2f8b99dd0633
España,Álava/Araba,Ribera Baja/Erribera Beitia,2770e6bc0d89847516ad1134627fe4af
España,Granada,Peligros,8da4437b90ea5ace62d5f82f03d6a9de
España,Girona,Begur,dcd256dd7a338d1541cfc8c320aab45c
España,Navarra,Marcilla,9eb5a19e6347127fbc4f5b51c2d1cc66
España,Navarra,Tudela,133931ca47c5e63cd10b79dbe8fc6bb6
España,Girona,Ripoll,9a96e4e63a8047135c423a1af5b25c9a
España,Alicante/Alacant,Ondara,0d6ae46b7d4a50f28f32428e53ce086a
España,Valencia/València,Catarroja,42c3d8507248f07608c3f2d36918b1aa
España,Barcelona,Molins de Rei,153d0af31082b504d73fd4186f9a9e1d
España,Navarra,Betelu,415f4caccd2acaa0dc4742883b6c0b2a
España,Barcelona,Cabrera de Mar,903703dd613090fae5868e191f86b2c8
España,La Rioja,Lardero,12a9a6891fcaa462766a59387cb949eb
España,Córdoba,Villafranca de Córdoba,55822526fc30dc9de5fa43d4c849856f
España,Lugo,Xove,ed68c110e8ddf31846e80ca2d82619e4
España,Navarra,Lumbier,a38a3df97ada2942105f41b0f05f6177
España,Pontevedra,Pontevedra,ba78b2dbc8359633bbb687d52de301e9
España,A Coruña,Bergondo,82651b20df65ee92534f131dcaf2d185
España,Valencia/València,Riba-roja de Túria,86319d0949e51c974a6b46f65c891764
España,Santa Cruz de Tenerife,Candelaria,f81b90ee8654f9e29068fbcc8f965bd0
España,Girona,Castelló d'Empúries,e793711587db2ab1acb35fd56ca422ca
España,Madrid,San Martín de la Vega,3fd340bcabfcdf42e4821ad7b17387f3
España,Córdoba,Córdoba,148f35ca26779f731419a55feac1793d
España,Madrid,Ajalvir,1b25460c7699eded477a42a5288b5b3b
España,Barcelona,Premià de Mar,712ed596bd43b9d94e7f2bcf7990326a
España,Burgos,Villarcayo de Merindad de Castilla la Vieja,88762ccc24a1274932c34314331148e8
España,Navarra,Noáin (Valle de Elorz)/Noain (Elortzibar),395ac8cfa1047bbddfb2bfa47b0deda3
España,Vizcaya/Bizkaia,Larrabetzu,8ddcb91fd9a6a90b15481b50f8ae6d00
España,Sevilla,Osuna,70e6e7b19f1ef9775c6ab140b3b26762
España,Ciudad Real,Puertollano,cbbb61d2f389cdcfd39721cc33aab57c
España,Vizcaya/Bizkaia,Basauri,87cdceedbe09eb4392f33d98288c579f
España,Toledo,Mocejón,d74d778760e2ca8901b07204b83c4c3e
España,Asturias,Gijón,362fc308be0a3ac571419918e6277114
España,Valencia/València,Alzira,781c81f245273f385ffe050a1eadd3e0
España,Valencia/València,Manises,1f3641cc5fcb9eb212d51079ce01539a
España,Ávila,Ávila,168d63f9f46cbc0064c47f816166043c
España,Cádiz,San Roque,e17fac27d6b39c70a1bc79e3081256ce
España,Burgos,Madrigalejo del Monte,052cd0f742768ba78b2cde408d8603ad
España,Barcelona,Abrera,3a02a0f47a507bc5371f29e073514d1c
España,Toledo,Valmojado,4af03564f84a80013ca551aeb7a5bfb7
España,Cádiz,Los Barrios,0b846d63c966bd67e4b528b73599b3b5
España,Girona,Caldes de Malavella,28c3f7ba2903c4ae5c8aeee27f32424a
España,Cádiz,Chiclana de la Frontera,7509e30c21b571965c4f51382cacdb46
España,Islas Baleares/Illes Balears,Algaida,2ca63feff5da7dd19467e31b0a9fe75f
España,Valladolid,Hornillos de Eresma,14adbde815269ae2837d1ca03bf1b131
España,Barcelona,Santa Perpètua de Mogoda,7d9f8056a079fab6cc7fae86e7906e2c
España,Murcia,Torre-Pacheco,9b741f2f3f9220ee06e74c88fc23809f
España,Alicante/Alacant,Redován,9afa52257ae193ebe65654adc2c0ad1a
España,Madrid,Villanueva de la Cañada,b97e17632b5dd1b398a8b0c81a71adfa
